0.000000000	10.0.0.12	10.0.0.1	80
19.627318000	10.0.0.1	10.0.0.5	5432
69.124596000	10.0.0.12	10.0.0.1	80
80.433920000	10.0.0.12	10.0.0.1	22
185.385410000	10.0.0.1	10.0.0.5	5432
202.918753000	10.0.0.1	10.0.0.5	5432
398.423152000	10.0.0.1	10.0.0.5	5432
418.973431000	10.0.0.1	10.0.0.5	5432
558.083821000	10.0.0.12	10.0.0.1	80
584.080920000	10.0.0.12	10.0.0.1	80
602.413587000	10.0.0.12	10.0.0.1	80
664.084960000	10.0.0.12	10.0.0.1	80
733.701621000	10.0.0.12	10.0.0.1	22
761.879646000	10.0.0.1	10.0.0.5	5432
870.874362000	10.0.0.12	10.0.0.1	80
1056.406045000	10.0.0.1	10.0.0.5	5432
1149.849625000	10.0.0.1	10.0.0.5	5432
1165.329264000	10.0.0.1	10.0.0.5	5432
1182.340330000	10.0.0.12	10.0.0.1	22
1201.268173000	10.0.0.1	10.0.0.5	5432
1223.609631000	10.0.0.12	10.0.0.1	80
1355.446976000	10.0.0.12	10.0.0.1	22
1384.317054000	10.0.0.12	10.0.0.1	80
1413.977821000	10.0.0.12	10.0.0.1	22
1429.396374000	10.0.0.12	10.0.0.1	80
1473.819775000	10.0.0.12	10.0.0.1	80
1488.593271000	10.0.0.1	10.0.0.5	5432
1514.630668000	10.0.0.1	10.0.0.5	5432
1636.978552000	10.0.0.12	10.0.0.1	22
1733.952449000	10.0.0.1	10.0.0.5	5432
1769.861365000	10.0.0.12	10.0.0.1	22
1845.773453000	10.0.0.12	10.0.0.1	80
1883.884434000	10.0.0.12	10.0.0.1	22
1955.617563000	10.0.0.1	10.0.0.5	5432
1960.454857000	10.0.0.12	10.0.0.1	80
2078.010856000	10.0.0.1	10.0.0.5	5432
2079.775012000	10.0.0.1	10.0.0.5	5432
2125.385735000	10.0.0.1	10.0.0.5	5432
2125.697062000	10.0.0.12	10.0.0.1	80
2239.132417000	10.0.0.12	10.0.0.1	80
2271.053814000	10.0.0.12	10.0.0.1	80
2349.272766000	10.0.0.12	10.0.0.1	80
2385.494417000	10.0.0.1	10.0.0.5	5432
2645.544811000	10.0.0.1	10.0.0.5	5432
2646.875429000	10.0.0.1	10.0.0.5	5432
2665.450849000	10.0.0.1	10.0.0.5	5432
2749.562429000	10.0.0.12	10.0.0.1	80
2853.095271000	10.0.0.12	10.0.0.1	22
2888.014108000	10.0.0.12	10.0.0.1	80
2909.590951000	10.0.0.12	10.0.0.1	22
3103.834933000	10.0.0.12	10.0.0.1	80
3153.276535000	10.0.0.12	10.0.0.1	80
